o_code,d_code,o_name,d_name,year,item,weight
37,15,Central African Republic,Belgium-Luxembourg,1993,hides_cattle_nes,17.0
37,15,Central African Republic,Belgium-Luxembourg,1997,hides_cattle_nes,5.0
37,53,Central African Republic,Benin,1996,hides_cattle_nes,6.0
37,32,Central African Republic,Cameroon,1997,hides_cattle_nes,16.0
37,32,Central African Republic,Cameroon,1999,hides_cattle_nes,24.0
37,32,Central African Republic,Cameroon,2001,hides_cattle_nes,10.0
37,32,Central African Republic,Cameroon,2002,hides_cattle_nes,47.0
37,32,Central African Republic,Cameroon,2003,hides_cattle_nes,65.0
37,32,Central African Republic,Cameroon,2004,hides_cattle_nes,84.0
10,9,Australia,Argentina,1993,hides_cattle_nes,5.0
37,37,Central African Republic,Central African Republic,2007,hides_cattle_nes,7.0
158,53,Niger,Benin,2017,hides_cattle_nes,60.0
56,80,Dominican Republic,Bosnia and Herzegovina,2017,hides_cattle_nes,107.97
56,80,Dominican Republic,Bosnia and Herzegovina,2018,hides_cattle_nes,787.79
56,80,Dominican Republic,Bosnia and Herzegovina,2019,hides_cattle_nes,538.12
56,80,Dominican Republic,Bosnia and Herzegovina,2020,hides_cattle_nes,50.2
56,21,Dominican Republic,Brazil,2018,hides_cattle_nes,7.37
56,21,Dominican Republic,Brazil,2019,hides_cattle_nes,0.01
66,10,Fiji,Australia,2002,hides_cattle_nes,30.0
37,68,Central African Republic,France,1993,hides_cattle_nes,52.0
37,68,Central African Republic,France,1994,hides_cattle_nes,25.0
37,68,Central African Republic,France,1995,hides_cattle_nes,39.0
53,41,Benin,"China, mainland",2019,hides_cattle_nes,188.0
53,41,Benin,"China, mainland",2020,hides_cattle_nes,335.63
53,41,Benin,"China, mainland",2021,hides_cattle_nes,257.49
53,41,Benin,"China, mainland",2022,hides_cattle_nes,226.02
53,41,Benin,"China, mainland",2023,hides_cattle_nes,120.04
56,33,Dominican Republic,Canada,2013,hides_cattle_nes,40.0
158,233,Niger,Burkina Faso,2016,hides_cattle_nes,0.59
158,233,Niger,Burkina Faso,2017,hides_cattle_nes,992.0
210,10,Sweden,Australia,2020,hides_cattle_nes,0.01
129,96,Madagascar,"China, Hong Kong SAR",2003,hides_cattle_nes,2321.0
37,106,Central African Republic,Italy,1993,hides_cattle_nes,30.0
37,106,Central African Republic,Italy,1994,hides_cattle_nes,13.0
37,106,Central African Republic,Italy,1995,hides_cattle_nes,35.0
184,96,Rwanda,"China, Hong Kong SAR",2007,hides_cattle_nes,21.0
37,110,Central African Republic,Japan,2001,hides_cattle_nes,5.0
214,10,"China, Taiwan Province of",Australia,1994,hides_cattle_nes,1.0
214,10,"China, Taiwan Province of",Australia,1995,hides_cattle_nes,1.0
56,40,Dominican Republic,Chile,2013,hides_cattle_nes,26.0
37,136,Central African Republic,Mauritania,1993,hides_cattle_nes,5.0
37,136,Central African Republic,Mauritania,1998,hides_cattle_nes,5.0
158,39,Niger,Chad,2018,hides_cattle_nes,319.1
158,39,Niger,Chad,2019,hides_cattle_nes,25.49
184,41,Rwanda,"China, mainland",2007,hides_cattle_nes,69.0
56,96,Dominican Republic,"China, Hong Kong SAR",2012,hides_cattle_nes,20.0
56,96,Dominican Republic,"China, Hong Kong SAR",2013,hides_cattle_nes,119.0
56,96,Dominican Republic,"China, Hong Kong SAR",2014,hides_cattle_nes,23.0
129,41,Madagascar,"China, mainland",2003,hides_cattle_nes,192.0
37,159,Central African Republic,Nigeria,1993,hides_cattle_nes,56.0
37,159,Central African Republic,Nigeria,1994,hides_cattle_nes,193.0
37,159,Central African Republic,Nigeria,1995,hides_cattle_nes,81.0
37,159,Central African Republic,Nigeria,1996,hides_cattle_nes,50.0
37,159,Central African Republic,Nigeria,1997,hides_cattle_nes,38.0
37,159,Central African Republic,Nigeria,1998,hides_cattle_nes,34.0
37,159,Central African Republic,Nigeria,1999,hides_cattle_nes,38.0
37,159,Central African Republic,Nigeria,2000,hides_cattle_nes,57.0
37,159,Central African Republic,Nigeria,2001,hides_cattle_nes,46.0
37,159,Central African Republic,Nigeria,2002,hides_cattle_nes,12.0
37,159,Central African Republic,Nigeria,2003,hides_cattle_nes,7.0
37,159,Central African Republic,Nigeria,2004,hides_cattle_nes,3.0
37,159,Central African Republic,Nigeria,2007,hides_cattle_nes,62.0
37,174,Central African Republic,Portugal,1994,hides_cattle_nes,25.0
37,174,Central African Republic,Portugal,1995,hides_cattle_nes,17.0
37,174,Central African Republic,Portugal,1997,hides_cattle_nes,22.0
56,41,Dominican Republic,"China, mainland",2012,hides_cattle_nes,68.0
56,41,Dominican Republic,"China, mainland",2013,hides_cattle_nes,408.0
37,206,Central African Republic,Sudan (former),1993,hides_cattle_nes,8.0
210,11,Sweden,Austria,2020,hides_cattle_nes,23.46
210,11,Sweden,Austria,2021,hides_cattle_nes,94.49
222,96,Tunisia,"China, Hong Kong SAR",2011,hides_cattle_nes,21.0
222,96,Tunisia,"China, Hong Kong SAR",2015,hides_cattle_nes,23.0
222,96,Tunisia,"China, Hong Kong SAR",2018,hides_cattle_nes,18.75
222,96,Tunisia,"China, Hong Kong SAR",2021,hides_cattle_nes,6.0
222,41,Tunisia,"China, mainland",2015,hides_cattle_nes,39.0
222,41,Tunisia,"China, mainland",2019,hides_cattle_nes,77.89
222,41,Tunisia,"China, mainland",2020,hides_cattle_nes,23.94
222,41,Tunisia,"China, mainland",2021,hides_cattle_nes,67.35
222,41,Tunisia,"China, mainland",2022,hides_cattle_nes,31.96
128,96,"China, Macao SAR","China, Hong Kong SAR",1990,hides_cattle_nes,9.0
128,96,"China, Macao SAR","China, Hong Kong SAR",1991,hides_cattle_nes,10.0
29,226,Burundi,Uganda,1999,hides_cattle_nes,1.0
222,214,Tunisia,"China, Taiwan Province of",2018,hides_cattle_nes,18.24
222,214,Tunisia,"China, Taiwan Province of",2019,hides_cattle_nes,9.2
4,68,Algeria,France,2002,hides_cattle_nes,301.0
4,68,Algeria,France,2004,hides_cattle_nes,37.0
4,68,Algeria,France,2006,hides_cattle_nes,20.0
214,16,"China, Taiwan Province of",Bangladesh,1997,hides_cattle_nes,2.0
214,16,"China, Taiwan Province of",Bangladesh,1998,hides_cattle_nes,4.0
214,16,"China, Taiwan Province of",Bangladesh,1999,hides_cattle_nes,2.0
214,16,"China, Taiwan Province of",Bangladesh,2012,hides_cattle_nes,2.0
56,79,Dominican Republic,Germany,2023,hides_cattle_nes,94.63
10,15,Australia,Belgium-Luxembourg,1990,hides_cattle_nes,1.0
10,15,Australia,Belgium-Luxembourg,1997,hides_cattle_nes,22.0
222,67,Tunisia,Finland,2015,hides_cattle_nes,123.5
184,114,Rwanda,Kenya,2002,hides_cattle_nes,10.0
214,23,"China, Taiwan Province of",Belize,2004,hides_cattle_nes,25.0
56,93,Dominican Republic,Haiti,2013,hides_cattle_nes,6.0
56,93,Dominican Republic,Haiti,2014,hides_cattle_nes,92.06
56,93,Dominican Republic,Haiti,2015,hides_cattle_nes,56.0
56,93,Dominican Republic,Haiti,2016,hides_cattle_nes,20.0
56,93,Dominican Republic,Haiti,2017,hides_cattle_nes,11.47
210,255,Sweden,Belgium,2019,hides_cattle_nes,62.88
56,100,Dominican Republic,India,2018,hides_cattle_nes,26.25
214,21,"China, Taiwan Province of",Brazil,1996,hides_cattle_nes,11.0
158,133,Niger,Mali,2010,hides_cattle_nes,2.0
158,133,Niger,Mali,2012,hides_cattle_nes,2.0
158,133,Niger,Mali,2013,hides_cattle_nes,2.0
158,133,Niger,Mali,2016,hides_cattle_nes,480.81
158,133,Niger,Mali,2017,hides_cattle_nes,369.9
158,133,Niger,Mali,2018,hides_cattle_nes,888.36
56,101,Dominican Republic,Indonesia,2013,hides_cattle_nes,51.0
56,101,Dominican Republic,Indonesia,2019,hides_cattle_nes,195.12
4,106,Algeria,Italy,2001,hides_cattle_nes,28.0
4,106,Algeria,Italy,2002,hides_cattle_nes,59.0
4,106,Algeria,Italy,2003,hides_cattle_nes,42.0
4,106,Algeria,Italy,2007,hides_cattle_nes,14.0
56,106,Dominican Republic,Italy,2012,hides_cattle_nes,21.0
56,106,Dominican Republic,Italy,2013,hides_cattle_nes,24.0
56,106,Dominican Republic,Italy,2014,hides_cattle_nes,92.0
56,106,Dominican Republic,Italy,2016,hides_cattle_nes,11.71
56,106,Dominican Republic,Italy,2020,hides_cattle_nes,109.64
184,165,Rwanda,Pakistan,2003,hides_cattle_nes,10.0
184,165,Rwanda,Pakistan,2007,hides_cattle_nes,15.0
56,110,Dominican Republic,Japan,2023,hides_cattle_nes,20.3
158,159,Niger,Nigeria,2005,hides_cattle_nes,1.0
158,159,Niger,Nigeria,2006,hides_cattle_nes,2.0
158,159,Niger,Nigeria,2008,hides_cattle_nes,10.0
158,159,Niger,Nigeria,2012,hides_cattle_nes,1.0
158,159,Niger,Nigeria,2014,hides_cattle_nes,2.3
158,159,Niger,Nigeria,2015,hides_cattle_nes,9.0
158,159,Niger,Nigeria,2016,hides_cattle_nes,21.5
158,159,Niger,Nigeria,2017,hides_cattle_nes,8.5
158,159,Niger,Nigeria,2018,hides_cattle_nes,225.66
158,159,Niger,Nigeria,2019,hides_cattle_nes,4897.61
158,159,Niger,Nigeria,2020,hides_cattle_nes,2839.84
158,159,Niger,Nigeria,2021,hides_cattle_nes,3.5
158,159,Niger,Nigeria,2022,hides_cattle_nes,4.0
158,159,Niger,Nigeria,2023,hides_cattle_nes,16.0
56,121,Dominican Republic,Lebanon,2019,hides_cattle_nes,24.5
214,115,"China, Taiwan Province of",Cambodia,1999,hides_cattle_nes,2.0
214,115,"China, Taiwan Province of",Cambodia,2001,hides_cattle_nes,10.0
214,115,"China, Taiwan Province of",Cambodia,2002,hides_cattle_nes,3.0
214,115,"China, Taiwan Province of",Cambodia,2003,hides_cattle_nes,6.0
214,115,"China, Taiwan Province of",Cambodia,2011,hides_cattle_nes,1.0
214,115,"China, Taiwan Province of",Cambodia,2013,hides_cattle_nes,2.0
56,138,Dominican Republic,Mexico,2015,hides_cattle_nes,196.34
184,226,Rwanda,Uganda,2001,hides_cattle_nes,4.0
184,226,Rwanda,Uganda,2007,hides_cattle_nes,55.0
222,81,Tunisia,Ghana,2022,hides_cattle_nes,20.0
56,159,Dominican Republic,Nigeria,2020,hides_cattle_nes,74.21
4,158,Algeria,Niger,2007,hides_cattle_nes,100.0
56,165,Dominican Republic,Pakistan,2014,hides_cattle_nes,23.94
10,33,Australia,Canada,1991,hides_cattle_nes,11.0
10,33,Australia,Canada,1992,hides_cattle_nes,11.0
10,33,Australia,Canada,1993,hides_cattle_nes,2.0
56,174,Dominican Republic,Portugal,2012,hides_cattle_nes,22.0
56,174,Dominican Republic,Portugal,2013,hides_cattle_nes,19.0
56,174,Dominican Republic,Portugal,2014,hides_cattle_nes,28.09
56,174,Dominican Republic,Portugal,2015,hides_cattle_nes,21.45
56,174,Dominican Republic,Portugal,2018,hides_cattle_nes,25.93
143,68,Morocco,France,1993,hides_cattle_nes,13.0
222,106,Tunisia,Italy,2007,hides_cattle_nes,1.0
222,106,Tunisia,Italy,2011,hides_cattle_nes,50.0
222,106,Tunisia,Italy,2018,hides_cattle_nes,29.26
222,106,Tunisia,Italy,2022,hides_cattle_nes,6.4
56,203,Dominican Republic,Spain,2023,hides_cattle_nes,82.01
179,106,Qatar,Italy,2019,hides_cattle_nes,0.05
210,33,Sweden,Canada,2018,hides_cattle_nes,0.01
4,203,Algeria,Spain,1996,hides_cattle_nes,7.0
4,203,Algeria,Spain,2002,hides_cattle_nes,91.0
56,216,Dominican Republic,Thailand,2012,hides_cattle_nes,1054.0
56,216,Dominican Republic,Thailand,2013,hides_cattle_nes,1102.0
56,216,Dominican Republic,Thailand,2014,hides_cattle_nes,238.9
56,216,Dominican Republic,Thailand,2015,hides_cattle_nes,52.0
56,217,Dominican Republic,Togo,2019,hides_cattle_nes,25.0
56,223,Dominican Republic,Türkiye,2012,hides_cattle_nes,20.0
56,223,Dominican Republic,Türkiye,2014,hides_cattle_nes,102.76
56,223,Dominican Republic,Türkiye,2015,hides_cattle_nes,104.83
56,223,Dominican Republic,Türkiye,2017,hides_cattle_nes,218.04
56,223,Dominican Republic,Türkiye,2018,hides_cattle_nes,566.68
56,223,Dominican Republic,Türkiye,2019,hides_cattle_nes,821.39
56,223,Dominican Republic,Türkiye,2020,hides_cattle_nes,230.54
56,223,Dominican Republic,Türkiye,2022,hides_cattle_nes,175.01
56,223,Dominican Republic,Türkiye,2023,hides_cattle_nes,18.5
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1989,hides_cattle_nes,1635.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1990,hides_cattle_nes,522.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1991,hides_cattle_nes,747.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1992,hides_cattle_nes,339.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1993,hides_cattle_nes,218.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1994,hides_cattle_nes,363.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1995,hides_cattle_nes,1055.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1996,hides_cattle_nes,1389.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1997,hides_cattle_nes,1454.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1998,hides_cattle_nes,1126.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1999,hides_cattle_nes,605.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2000,hides_cattle_nes,643.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2001,hides_cattle_nes,452.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2002,hides_cattle_nes,336.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2003,hides_cattle_nes,239.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2004,hides_cattle_nes,791.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2005,hides_cattle_nes,357.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2009,hides_cattle_nes,459.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2010,hides_cattle_nes,64.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2011,hides_cattle_nes,48.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2012,hides_cattle_nes,30.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",2013,hides_cattle_nes,13.0
10,96,Australia,"China, Hong Kong SAR",1987,hides_cattle_nes,13.0
10,96,Australia,"China, Hong Kong SAR",1988,hides_cattle_nes,50.0
10,96,Australia,"China, Hong Kong SAR",1989,hides_cattle_nes,50.0
10,96,Australia,"China, Hong Kong SAR",1990,hides_cattle_nes,307.0
10,96,Australia,"China, Hong Kong SAR",1991,hides_cattle_nes,272.0
10,96,Australia,"China, Hong Kong SAR",1992,hides_cattle_nes,113.0
10,96,Australia,"China, Hong Kong SAR",1993,hides_cattle_nes,10.0
10,96,Australia,"China, Hong Kong SAR",1994,hides_cattle_nes,23.0
10,96,Australia,"China, Hong Kong SAR",1995,hides_cattle_nes,85.0
10,96,Australia,"China, Hong Kong SAR",1996,hides_cattle_nes,13.0
10,96,Australia,"China, Hong Kong SAR",1997,hides_cattle_nes,496.0
4,222,Algeria,Tunisia,1998,hides_cattle_nes,26.0
4,222,Algeria,Tunisia,2000,hides_cattle_nes,37.0
4,222,Algeria,Tunisia,2002,hides_cattle_nes,350.0
4,222,Algeria,Tunisia,2003,hides_cattle_nes,1210.0
4,222,Algeria,Tunisia,2004,hides_cattle_nes,680.0
4,222,Algeria,Tunisia,2006,hides_cattle_nes,40.0
210,96,Sweden,"China, Hong Kong SAR",2003,hides_cattle_nes,300.0
4,223,Algeria,Türkiye,2003,hides_cattle_nes,218.0
4,223,Algeria,Türkiye,2004,hides_cattle_nes,9.0
4,223,Algeria,Türkiye,2005,hides_cattle_nes,101.0
4,223,Algeria,Türkiye,2006,hides_cattle_nes,1268.0
4,223,Algeria,Türkiye,2007,hides_cattle_nes,505.0
4,223,Algeria,Türkiye,2008,hides_cattle_nes,332.0
4,223,Algeria,Türkiye,2009,hides_cattle_nes,59.0
56,231,Dominican Republic,United States of America,2012,hides_cattle_nes,18.0
56,231,Dominican Republic,United States of America,2013,hides_cattle_nes,55.0
214,128,"China, Taiwan Province of","China, Macao SAR",1995,hides_cattle_nes,35.0
214,128,"China, Taiwan Province of","China, Macao SAR",1996,hides_cattle_nes,12.0
214,128,"China, Taiwan Province of","China, Macao SAR",1997,hides_cattle_nes,6.0
214,128,"China, Taiwan Province of","China, Macao SAR",1998,hides_cattle_nes,4.0
214,128,"China, Taiwan Province of","China, Macao SAR",1999,hides_cattle_nes,1.0
214,128,"China, Taiwan Province of","China, Macao SAR",2002,hides_cattle_nes,1.0
214,128,"China, Taiwan Province of","China, Macao SAR",2003,hides_cattle_nes,9.0
214,128,"China, Taiwan Province of","China, Macao SAR",2004,hides_cattle_nes,32.0
56,237,Dominican Republic,Viet Nam,2012,hides_cattle_nes,73.0
56,237,Dominican Republic,Viet Nam,2013,hides_cattle_nes,684.0
210,214,Sweden,"China, Taiwan Province of",2005,hides_cattle_nes,41.0
214,41,"China, Taiwan Province of","China, mainland",1996,hides_cattle_nes,1.0
214,41,"China, Taiwan Province of","China, mainland",1997,hides_cattle_nes,1.0
