o_code,d_code,o_name,d_name,year,item,weight
104,4,Ireland,Algeria,2003,cheese_from_skimmed_cow_milk,3.0
174,7,Portugal,Angola,2005,cheese_from_skimmed_cow_milk,1.0
174,7,Portugal,Angola,2007,cheese_from_skimmed_cow_milk,1.0
141,96,Mongolia,"China, Hong Kong SAR",2017,cheese_from_skimmed_cow_milk,0.05
11,9,Austria,Argentina,1998,cheese_from_skimmed_cow_milk,5.0
141,41,Mongolia,"China, mainland",2017,cheese_from_skimmed_cow_milk,0.5
144,50,Mozambique,Cyprus,2023,cheese_from_skimmed_cow_milk,0.62
144,54,Mozambique,Denmark,2021,cheese_from_skimmed_cow_milk,0.05
54,10,Denmark,Australia,1997,cheese_from_skimmed_cow_milk,10.0
104,13,Ireland,Bahrain,2001,cheese_from_skimmed_cow_milk,8.0
84,10,Greece,Australia,1986,cheese_from_skimmed_cow_milk,401.0
144,123,Mozambique,Liberia,2022,cheese_from_skimmed_cow_milk,0.2
104,255,Ireland,Belgium,2000,cheese_from_skimmed_cow_milk,7.0
104,255,Ireland,Belgium,2001,cheese_from_skimmed_cow_milk,81.0
104,255,Ireland,Belgium,2002,cheese_from_skimmed_cow_milk,121.0
104,255,Ireland,Belgium,2003,cheese_from_skimmed_cow_milk,36.0
229,10,United Kingdom of Great Britain and Northern Ireland,Australia,2012,cheese_from_skimmed_cow_milk,1.0
84,11,Greece,Austria,1986,cheese_from_skimmed_cow_milk,35.0
141,110,Mongolia,Japan,2018,cheese_from_skimmed_cow_milk,0.04
141,110,Mongolia,Japan,2022,cheese_from_skimmed_cow_milk,0.07
223,11,Türkiye,Austria,1991,cheese_from_skimmed_cow_milk,16.0
104,15,Ireland,Belgium-Luxembourg,1990,cheese_from_skimmed_cow_milk,8.0
104,15,Ireland,Belgium-Luxembourg,1995,cheese_from_skimmed_cow_milk,1.0
104,15,Ireland,Belgium-Luxembourg,1996,cheese_from_skimmed_cow_milk,4.0
104,15,Ireland,Belgium-Luxembourg,1997,cheese_from_skimmed_cow_milk,9.0
104,15,Ireland,Belgium-Luxembourg,1998,cheese_from_skimmed_cow_milk,6.0
104,15,Ireland,Belgium-Luxembourg,1999,cheese_from_skimmed_cow_milk,2.0
79,10,Germany,Australia,2004,cheese_from_skimmed_cow_milk,7.0
79,10,Germany,Australia,2005,cheese_from_skimmed_cow_milk,4.0
20,202,Botswana,South Africa,1993,cheese_from_skimmed_cow_milk,69.0
20,202,Botswana,South Africa,1995,cheese_from_skimmed_cow_milk,3.0
20,202,Botswana,South Africa,1996,cheese_from_skimmed_cow_milk,2.0
20,202,Botswana,South Africa,2000,cheese_from_skimmed_cow_milk,1.0
106,1,Italy,Armenia,2009,cheese_from_skimmed_cow_milk,1.0
141,117,Mongolia,Republic of Korea,2020,cheese_from_skimmed_cow_milk,0.89
84,12,Greece,Bahamas,1998,cheese_from_skimmed_cow_milk,23.0
48,44,Costa Rica,Colombia,1994,cheese_from_skimmed_cow_milk,2.0
48,44,Costa Rica,Colombia,1995,cheese_from_skimmed_cow_milk,3.0
48,44,Costa Rica,Colombia,1996,cheese_from_skimmed_cow_milk,3.0
48,44,Costa Rica,Colombia,1997,cheese_from_skimmed_cow_milk,2.0
48,44,Costa Rica,Colombia,1998,cheese_from_skimmed_cow_milk,2.0
48,44,Costa Rica,Colombia,1999,cheese_from_skimmed_cow_milk,1.0
48,44,Costa Rica,Colombia,2000,cheese_from_skimmed_cow_milk,2.0
48,44,Costa Rica,Colombia,2001,cheese_from_skimmed_cow_milk,1.0
106,10,Italy,Australia,1989,cheese_from_skimmed_cow_milk,1.0
106,10,Italy,Australia,2000,cheese_from_skimmed_cow_milk,16.0
106,10,Italy,Australia,2001,cheese_from_skimmed_cow_milk,1.0
106,10,Italy,Australia,2006,cheese_from_skimmed_cow_milk,1.0
106,10,Italy,Australia,2008,cheese_from_skimmed_cow_milk,4.0
106,10,Italy,Australia,2009,cheese_from_skimmed_cow_milk,3.0
106,10,Italy,Australia,2010,cheese_from_skimmed_cow_milk,72.0
60,89,El Salvador,Guatemala,1993,cheese_from_skimmed_cow_milk,1.0
104,33,Ireland,Canada,2011,cheese_from_skimmed_cow_milk,1.0
